src/activitypub/actors.js: line 13, col 7, Redefinition of 'utils'.

src/activitypub/feps.js: line 6, col 7, Redefinition of 'utils'.

src/activitypub/helpers.js: line 19, col 7, Redefinition of 'utils'.

src/activitypub/inbox.js: line 319, col 9, Expected a 'break' statement before 'case'.

src/activitypub/index.js: line 15, col 7, Redefinition of 'utils'.

src/activitypub/mocks.js: line 17, col 7, Redefinition of 'translator'.
src/activitypub/mocks.js: line 18, col 7, Redefinition of 'utils'.

src/activitypub/notes.js: line 16, col 7, Redefinition of 'utils'.

src/analytics.js: line 12, col 7, Redefinition of 'utils'.

src/api/activitypub.js: line 23, col 7, Redefinition of 'utils'.

src/api/categories.js: line 10, col 7, Redefinition of 'utils'.
src/api/categories.js: line 176, col 35, Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (cids)

src/api/chats.js: line 13, col 7, Redefinition of 'utils'.

src/api/posts.js: line 7, col 7, Redefinition of 'utils'.
src/api/posts.js: line 20, col 7, Redefinition of 'translator'.

src/api/users.js: line 19, col 7, Redefinition of 'translator'.
src/api/users.js: line 21, col 7, Redefinition of 'utils'.
src/api/users.js: line 690, col 33, Confusing use of '!'.

src/api/utils.js: line 8, col 7, Redefinition of 'utils'.

src/batch.js: line 7, col 7, Redefinition of 'utils'.

src/categories/create.js: line 10, col 7, Redefinition of 'utils'.

src/categories/data.js: line 8, col 7, Redefinition of 'utils'.

src/categories/delete.js: line 12, col 7, Redefinition of 'utils'.

src/categories/icon.js: line 7, col 9, Expected an identifier and instead saw 'default' (a reserved word).
src/categories/icon.js: line 10, col 7, Redefinition of 'utils'.

src/categories/index.js: line 14, col 7, Redefinition of 'utils'.

src/categories/recentreplies.js: line 13, col 7, Redefinition of 'utils'.

src/categories/search.js: line 8, col 7, Redefinition of 'utils'.

src/categories/topics.js: line 10, col 7, Redefinition of 'translator'.
src/categories/topics.js: line 12, col 7, Redefinition of 'utils'.

src/categories/update.js: line 5, col 7, Redefinition of 'utils'.
src/categories/update.js: line 7, col 7, Redefinition of 'translator'.

src/categories/watch.js: line 6, col 7, Redefinition of 'utils'.
src/categories/watch.js: line 17, col 13, Confusing use of '!'.
src/categories/watch.js: line 25, col 48, Confusing use of '!'.

src/cli/upgrade-plugins.js: line 3, col 7, Redefinition of 'prompt'.

